Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Botswana,739.0,2.0,63.0,674.0,53.0,1.0,11.0,0.27,8.53,3.17,522.0,217.0,41.57,Africa
Brazil,2442375.0,87618.0,1846641.0,508116.0,23284.0,614.0,33728.0,3.59,75.61,4.74,2118646.0,323729.0,15.28,Americas
Brunei,141.0,3.0,138.0,0.0,0.0,0.0,0.0,2.13,97.87,2.17,141.0,0.0,0.0,Western Pacific
Bulgaria,10621.0,347.0,5585.0,4689.0,194.0,7.0,230.0,3.27,52.58,6.21,8929.0,1692.0,18.95,Europe
Burkina Faso,1100.0,53.0,926.0,121.0,14.0,0.0,6.0,4.82,84.18,5.72,1065.0,35.0,3.29,Africa
Burma,350.0,6.0,292.0,52.0,0.0,0.0,2.0,1.71,83.43,2.05,341.0,9.0,2.64,South-East Asia
Burundi,378.0,1.0,301.0,76.0,17.0,0.0,22.0,0.26,79.63,0.33,322.0,56.0,17.39,Africa
Cabo Verde,2328.0,22.0,1550.0,756.0,21.0,0.0,103.0,0.95,66.58,1.42,2071.0,257.0,12.41,Africa
Cambodia,226.0,0.0,147.0,79.0,1.0,0.0,4.0,0.0,65.04,0.0,171.0,55.0,32.16,Western Pacific
Cameroon,17110.0,391.0,14539.0,2180.0,402.0,6.0,0.0,2.29,84.97,2.69,16157.0,953.0,5.9,Africa
Canada,116458.0,8944.0,0.0,107514.0,682.0,11.0,0.0,7.68,0.0,inf,112925.0,3533.0,3.13,Americas
Central African Republic,4599.0,59.0,1546.0,2994.0,0.0,0.0,0.0,1.28,33.62,3.82,4548.0,51.0,1.12,Africa
Chad,922.0,75.0,810.0,37.0,7.0,0.0,0.0,8.13,87.85,9.26,889.0,33.0,3.71,Africa
Chile,347923.0,9187.0,319954.0,18782.0,2133.0,75.0,1859.0,2.64,91.96,2.87,333029.0,14894.0,4.47,Americas
China,86783.0,4656.0,78869.0,3258.0,213.0,4.0,7.0,5.37,90.88,5.9,85622.0,1161.0,1.36,Western Pacific
Colombia,257101.0,8777.0,131161.0,117163.0,16306.0,508.0,11494.0,3.41,51.02,6.69,204005.0,53096.0,26.03,Americas
Comoros,354.0,7.0,328.0,19.0,0.0,0.0,0.0,1.98,92.66,2.13,334.0,20.0,5.99,Africa
Congo (Brazzaville),3200.0,54.0,829.0,2317.0,162.0,3.0,73.0,1.69,25.91,6.51,2851.0,349.0,12.24,Africa
Congo (Kinshasa),8844.0,208.0,5700.0,2936.0,13.0,4.0,190.0,2.35,64.45,3.65,8443.0,401.0,4.75,Africa
Costa Rica,15841.0,115.0,3824.0,11902.0,612.0,11.0,88.0,0.73,24.14,3.01,11534.0,4307.0,37.34,Americas
Cote d'Ivoire,15655.0,96.0,10361.0,5198.0,59.0,0.0,183.0,0.61,66.18,0.93,14312.0,1343.0,9.38,Africa
Croatia,4881.0,139.0,3936.0,806.0,24.0,3.0,70.0,2.85,80.64,3.53,4370.0,511.0,11.69,Europe
Cuba,2532.0,87.0,2351.0,94.0,37.0,0.0,2.0,3.44,92.85,3.7,2446.0,86.0,3.52,Americas
Cyprus,1060.0,19.0,852.0,189.0,3.0,0.0,0.0,1.79,80.38,2.23,1038.0,22.0,2.12,Europe
Czechia,15516.0,373.0,11428.0,3715.0,192.0,2.0,0.0,2.4,73.65,3.26,14098.0,1418.0,10.06,Europe
Denmark,13761.0,613.0,12605.0,543.0,109.0,0.0,77.0,4.45,91.6,4.86,13453.0,308.0,2.29,Europe
Djibouti,5059.0,58.0,4977.0,24.0,9.0,0.0,11.0,1.15,98.38,1.17,5020.0,39.0,0.78,Eastern Mediterranean
Dominica,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,0.0,Americas
Dominican Republic,64156.0,1083.0,30204.0,32869.0,1248.0,20.0,1601.0,1.69,47.08,3.59,53956.0,10200.0,18.9,Americas
Ecuador,81161.0,5532.0,34896.0,40733.0,467.0,17.0,0.0,6.82,43.0,15.85,74620.0,6541.0,8.77,Americas
Egypt,92482.0,4652.0,34838.0,52992.0,420.0,46.0,1007.0,5.03,37.67,13.35,88402.0,4080.0,4.62,Eastern Mediterranean
El Salvador,15035.0,408.0,7778.0,6849.0,405.0,8.0,130.0,2.71,51.73,5.25,12207.0,2828.0,23.17,Americas
Equatorial Guinea,3071.0,51.0,842.0,2178.0,0.0,0.0,0.0,1.66,27.42,6.06,3071.0,0.0,0.0,Africa
Eritrea,265.0,0.0,191.0,74.0,2.0,0.0,2.0,0.0,72.08,0.0,251.0,14.0,5.58,Africa
Estonia,2034.0,69.0,1923.0,42.0,0.0,0.0,1.0,3.39,94.54,3.59,2021.0,13.0,0.64,Europe
Eswatini,2316.0,34.0,1025.0,1257.0,109.0,2.0,39.0,1.47,44.26,3.32,1826.0,490.0,26.83,Africa
Ethiopia,14547.0,228.0,6386.0,7933.0,579.0,5.0,170.0,1.57,43.9,3.57,10207.0,4340.0,42.52,Africa
Fiji,27.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,66.67,0.0,27.0,0.0,0.0,Western Pacific
Finland,7398.0,329.0,6920.0,149.0,5.0,0.0,0.0,4.45,93.54,4.75,7340.0,58.0,0.79,Europe
France,220352.0,30212.0,81212.0,108928.0,2551.0,17.0,267.0,13.71,36.86,37.2,214023.0,6329.0,2.96,Europe
Gabon,7189.0,49.0,4682.0,2458.0,205.0,0.0,219.0,0.68,65.13,1.05,6433.0,756.0,11.75,Africa
Gambia,326.0,8.0,66.0,252.0,49.0,2.0,6.0,2.45,20.25,12.12,112.0,214.0,191.07,Africa
Georgia,1137.0,16.0,922.0,199.0,6.0,0.0,2.0,1.41,81.09,1.74,1039.0,98.0,9.43,Europe
Germany,207112.0,9125.0,190314.0,7673.0,445.0,1.0,259.0,4.41,91.89,4.79,203325.0,3787.0,1.86,Europe
Ghana,33624.0,168.0,29801.0,3655.0,655.0,0.0,307.0,0.5,88.63,0.56,28430.0,5194.0,18.27,Africa
Greece,4227.0,202.0,1374.0,2651.0,34.0,0.0,0.0,4.78,32.51,14.7,4012.0,215.0,5.36,Europe
Greenland,14.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,92.86,0.0,13.0,1.0,7.69,Europe
Grenada,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,23.0,0.0,0.0,Americas
Guatemala,45309.0,1761.0,32455.0,11093.0,256.0,27.0,843.0,3.89,71.63,5.43,39039.0,6270.0,16.06,Americas
Guinea,7055.0,45.0,6257.0,753.0,47.0,2.0,105.0,0.64,88.69,0.72,6590.0,465.0,7.06,Africa
Guinea-Bissau,1954.0,26.0,803.0,1125.0,0.0,0.0,0.0,1.33,41.1,3.24,1949.0,5.0,0.26,Africa
Guyana,389.0,20.0,181.0,188.0,19.0,0.0,0.0,5.14,46.53,11.05,337.0,52.0,15.43,Americas
Haiti,7340.0,158.0,4365.0,2817.0,25.0,1.0,0.0,2.15,59.47,3.62,7053.0,287.0,4.07,Americas
Holy See,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.0,0.0,0.0,Europe
Honduras,39741.0,1166.0,5039.0,33536.0,465.0,50.0,117.0,2.93,12.68,23.14,34611.0,5130.0,14.82,Americas
Hungary,4448.0,596.0,3329.0,523.0,13.0,0.0,0.0,13.4,74.84,17.9,4339.0,109.0,2.51,Europe
Iceland,1854.0,10.0,1823.0,21.0,7.0,0.0,0.0,0.54,98.33,0.55,1839.0,15.0,0.82,Europe
India,1480073.0,33408.0,951166.0,495499.0,44457.0,637.0,33598.0,2.26,64.26,3.51,1155338.0,324735.0,28.11,South-East Asia
Indonesia,100303.0,4838.0,58173.0,37292.0,1525.0,57.0,1518.0,4.82,58.0,8.32,88214.0,12089.0,13.7,South-East Asia
Iran,293606.0,15912.0,255144.0,22550.0,2434.0,212.0,1931.0,5.42,86.9,6.24,276202.0,17404.0,6.3,Eastern Mediterranean
Iraq,112585.0,4458.0,77144.0,30983.0,2553.0,96.0,1927.0,3.96,68.52,5.78,94693.0,17892.0,18.89,Eastern Mediterranean
Ireland,25892.0,1764.0,23364.0,764.0,11.0,0.0,0.0,6.81,90.24,7.55,25766.0,126.0,0.49,Europe
Israel,63985.0,474.0,27133.0,36378.0,2029.0,4.0,108.0,0.74,42.41,1.75,52003.0,11982.0,23.04,Europe
Italy,246286.0,35112.0,198593.0,12581.0,168.0,5.0,147.0,14.26,80.64,17.68,244624.0,1662.0,0.68,Europe
Jamaica,853.0,10.0,714.0,129.0,11.0,0.0,0.0,1.17,83.7,1.4,809.0,44.0,5.44,Americas
Japan,31142.0,998.0,21970.0,8174.0,594.0,0.0,364.0,3.2,70.55,4.54,25706.0,5436.0,21.15,Western Pacific
Jordan,1176.0,11.0,1041.0,124.0,8.0,0.0,0.0,0.94,88.52,1.06,1223.0,-47.0,-3.84,Eastern Mediterranean
Kazakhstan,84648.0,585.0,54404.0,29659.0,1526.0,0.0,1833.0,0.69,64.27,1.08,73468.0,11180.0,15.22,Europe
Kenya,17975.0,285.0,7833.0,9857.0,372.0,5.0,90.0,1.59,43.58,3.64,13771.0,4204.0,30.53,Africa
Kosovo,7413.0,185.0,4027.0,3201.0,496.0,16.0,274.0,2.5,54.32,4.59,5877.0,1536.0,26.14,Europe
Kuwait,64379.0,438.0,55057.0,8884.0,606.0,5.0,684.0,0.68,85.52,0.8,59763.0,4616.0,7.72,Eastern Mediterranean
Kyrgyzstan,33296.0,1301.0,21205.0,10790.0,483.0,24.0,817.0,3.91,63.69,6.14,27143.0,6153.0,22.67,Europe
Laos,20.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,95.0,0.0,19.0,1.0,5.26,Western Pacific
Latvia,1219.0,31.0,1045.0,143.0,0.0,0.0,0.0,2.54,85.73,2.97,1192.0,27.0,2.27,Europe
Lebanon,3882.0,51.0,1709.0,2122.0,132.0,0.0,17.0,1.31,44.02,2.98,2905.0,977.0,33.63,Eastern Mediterranean
Lesotho,505.0,12.0,128.0,365.0,0.0,0.0,0.0,2.38,25.35,9.38,359.0,146.0,40.67,Africa
Liberia,1167.0,72.0,646.0,449.0,5.0,0.0,5.0,6.17,55.36,11.15,1107.0,60.0,5.42,Africa
Libya,2827.0,64.0,577.0,2186.0,158.0,4.0,24.0,2.26,20.41,11.09,1980.0,847.0,42.78,Eastern Mediterranean
Liechtenstein,86.0,1.0,81.0,4.0,0.0,0.0,0.0,1.16,94.19,1.23,86.0,0.0,0.0,Europe
Lithuania,2019.0,80.0,1620.0,319.0,11.0,0.0,4.0,3.96,80.24,4.94,1947.0,72.0,3.7,Europe
Luxembourg,6321.0,112.0,4825.0,1384.0,49.0,0.0,178.0,1.77,76.33,2.32,5639.0,682.0,12.09,Europe
Madagascar,9690.0,91.0,6260.0,3339.0,395.0,6.0,681.0,0.94,64.6,1.45,7153.0,2537.0,35.47,Africa
Malawi,3664.0,99.0,1645.0,1920.0,24.0,0.0,6.0,2.7,44.9,6.02,2992.0,672.0,22.46,Africa
Malaysia,8904.0,124.0,8601.0,179.0,7.0,0.0,1.0,1.39,96.6,1.44,8800.0,104.0,1.18,Western Pacific
Maldives,3369.0,15.0,2547.0,807.0,67.0,0.0,19.0,0.45,75.6,0.59,2999.0,370.0,12.34,South-East Asia
Mali,2513.0,124.0,1913.0,476.0,3.0,1.0,2.0,4.93,76.12,6.48,2475.0,38.0,1.54,Africa
Malta,701.0,9.0,665.0,27.0,1.0,0.0,0.0,1.28,94.86,1.35,677.0,24.0,3.55,Europe
Mauritania,6208.0,156.0,4653.0,1399.0,37.0,0.0,223.0,2.51,74.95,3.35,5923.0,285.0,4.81,Africa
Mauritius,344.0,10.0,332.0,2.0,0.0,0.0,0.0,2.91,96.51,3.01,343.0,1.0,0.29,Africa
Mexico,395489.0,44022.0,303810.0,47657.0,4973.0,342.0,8588.0,11.13,76.82,14.49,349396.0,46093.0,13.19,Americas
Moldova,23154.0,748.0,16154.0,6252.0,120.0,13.0,245.0,3.23,69.77,4.63,21115.0,2039.0,9.66,Europe
Monaco,116.0,4.0,104.0,8.0,0.0,0.0,0.0,3.45,89.66,3.85,109.0,7.0,6.42,Europe
Mongolia,289.0,0.0,222.0,67.0,1.0,0.0,4.0,0.0,76.82,0.0,287.0,2.0,0.7,Western Pacific
Montenegro,2893.0,45.0,809.0,2039.0,94.0,2.0,70.0,1.56,27.96,5.56,2188.0,705.0,32.22,Europe
Morocco,20887.0,316.0,16553.0,4018.0,609.0,3.0,115.0,1.51,79.25,1.91,17562.0,3325.0,18.93,Eastern Mediterranean
Mozambique,1701.0,11.0,0.0,1690.0,32.0,0.0,0.0,0.65,0.0,inf,1507.0,194.0,12.87,Africa
Namibia,1843.0,8.0,101.0,1734.0,68.0,0.0,26.0,0.43,5.48,7.92,1344.0,499.0,37.13,Africa
Nepal,18752.0,48.0,13754.0,4950.0,139.0,3.0,626.0,0.26,73.35,0.35,17844.0,908.0,5.09,South-East Asia
Netherlands,53413.0,6160.0,189.0,47064.0,419.0,1.0,0.0,11.53,0.35,3259.26,52132.0,1281.0,2.46,Europe
New Zealand,1557.0,22.0,1514.0,21.0,1.0,0.0,1.0,1.41,97.24,1.45,1555.0,2.0,0.13,Western Pacific
Nicaragua,3439.0,108.0,2492.0,839.0,0.0,0.0,0.0,3.14,72.46,4.33,3147.0,292.0,9.28,Americas
Niger,1132.0,69.0,1027.0,36.0,0.0,0.0,0.0,6.1,90.72,6.72,1105.0,27.0,2.44,Africa
Nigeria,41180.0,860.0,18203.0,22117.0,648.0,2.0,829.0,2.09,44.2,4.72,37225.0,3955.0,10.62,Africa
North Macedonia,10213.0,466.0,5564.0,4183.0,127.0,6.0,137.0,4.56,54.48,8.38,9249.0,964.0,10.42,Europe
Norway,9132.0,255.0,8752.0,125.0,15.0,0.0,0.0,2.79,95.84,2.91,9034.0,98.0,1.08,Europe
Oman,77058.0,393.0,57028.0,19637.0,1053.0,9.0,1729.0,0.51,74.01,0.69,68400.0,8658.0,12.66,Eastern Mediterranean
Pakistan,274289.0,5842.0,241026.0,27421.0,1176.0,20.0,3592.0,2.13,87.87,2.42,266096.0,8193.0,3.08,Eastern Mediterranean
Panama,61442.0,1322.0,35086.0,25034.0,1146.0,28.0,955.0,2.15,57.1,3.77,54426.0,7016.0,12.89,Americas
Papua New Guinea,62.0,0.0,11.0,51.0,0.0,0.0,0.0,0.0,17.74,0.0,19.0,43.0,226.32,Western Pacific
Paraguay,4548.0,43.0,2905.0,1600.0,104.0,2.0,111.0,0.95,63.87,1.48,3748.0,800.0,21.34,Americas
Peru,389717.0,18418.0,272547.0,98752.0,13756.0,575.0,4697.0,4.73,69.93,6.76,357681.0,32036.0,8.96,Americas
Philippines,82040.0,1945.0,26446.0,53649.0,1592.0,13.0,336.0,2.37,32.24,7.35,68898.0,13142.0,19.07,Western Pacific
Poland,43402.0,1676.0,32856.0,8870.0,337.0,5.0,103.0,3.86,75.7,5.1,40383.0,3019.0,7.48,Europe
Portugal,50299.0,1719.0,35375.0,13205.0,135.0,2.0,158.0,3.42,70.33,4.86,48771.0,1528.0,3.13,Europe
Qatar,109597.0,165.0,106328.0,3104.0,292.0,0.0,304.0,0.15,97.02,0.16,107037.0,2560.0,2.39,Eastern Mediterranean
Romania,45902.0,2206.0,25794.0,17902.0,1104.0,19.0,151.0,4.81,56.19,8.55,38139.0,7763.0,20.35,Europe
Russia,816680.0,13334.0,602249.0,201097.0,5607.0,85.0,3077.0,1.63,73.74,2.21,776212.0,40468.0,5.21,Europe
Rwanda,1879.0,5.0,975.0,899.0,58.0,0.0,57.0,0.27,51.89,0.51,1629.0,250.0,15.35,Africa
Saint Kitts and Nevis,17.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,88.24,0.0,17.0,0.0,0.0,Americas
Saint Lucia,24.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,91.67,0.0,23.0,1.0,4.35,Americas
Saint Vincent and the Grenadines,52.0,0.0,39.0,13.0,0.0,0.0,0.0,0.0,75.0,0.0,50.0,2.0,4.0,Americas
San Marino,699.0,42.0,657.0,0.0,0.0,0.0,0.0,6.01,93.99,6.39,699.0,0.0,0.0,Europe
Sao Tome and Principe,865.0,14.0,734.0,117.0,2.0,0.0,38.0,1.62,84.86,1.91,746.0,119.0,15.95,Africa
Saudi Arabia,268934.0,2760.0,222936.0,43238.0,1993.0,27.0,2613.0,1.03,82.9,1.24,253349.0,15585.0,6.15,Eastern Mediterranean
Senegal,9764.0,194.0,6477.0,3093.0,83.0,3.0,68.0,1.99,66.34,3.0,8948.0,816.0,9.12,Africa
Serbia,24141.0,543.0,0.0,23598.0,411.0,9.0,0.0,2.25,0.0,inf,21253.0,2888.0,13.59,Europe
Seychelles,114.0,0.0,39.0,75.0,0.0,0.0,0.0,0.0,34.21,0.0,108.0,6.0,5.56,Africa
Sierra Leone,1783.0,66.0,1317.0,400.0,0.0,0.0,4.0,3.7,73.86,5.01,1711.0,72.0,4.21,Africa
Singapore,50838.0,27.0,45692.0,5119.0,469.0,0.0,171.0,0.05,89.88,0.06,48035.0,2803.0,5.84,Western Pacific
Slovakia,2181.0,28.0,1616.0,537.0,2.0,0.0,39.0,1.28,74.09,1.73,1980.0,201.0,10.15,Europe
Slovenia,2087.0,116.0,1733.0,238.0,5.0,0.0,55.0,5.56,83.04,6.69,1953.0,134.0,6.86,Europe
Somalia,3196.0,93.0,1543.0,1560.0,18.0,0.0,22.0,2.91,48.28,6.03,3130.0,66.0,2.11,Eastern Mediterranean
South Africa,452529.0,7067.0,274925.0,170537.0,7096.0,298.0,9848.0,1.56,60.75,2.57,373628.0,78901.0,21.12,Africa
South Korea,14203.0,300.0,13007.0,896.0,28.0,1.0,102.0,2.11,91.58,2.31,13816.0,387.0,2.8,Western Pacific
South Sudan,2305.0,46.0,1175.0,1084.0,43.0,1.0,0.0,2.0,50.98,3.91,2211.0,94.0,4.25,Africa
Spain,272421.0,28432.0,150376.0,93613.0,0.0,0.0,0.0,10.44,55.2,18.91,264836.0,7585.0,2.86,Europe
Sri Lanka,2805.0,11.0,2121.0,673.0,23.0,0.0,15.0,0.39,75.61,0.52,2730.0,75.0,2.75,South-East Asia
Sudan,11424.0,720.0,5939.0,4765.0,39.0,3.0,49.0,6.3,51.99,12.12,10992.0,432.0,3.93,Eastern Mediterranean
Suriname,1483.0,24.0,925.0,534.0,44.0,1.0,35.0,1.62,62.37,2.59,1079.0,404.0,37.44,Americas
Sweden,79395.0,5700.0,0.0,73695.0,398.0,3.0,0.0,7.18,0.0,inf,78048.0,1347.0,1.73,Europe
Switzerland,34477.0,1978.0,30900.0,1599.0,65.0,1.0,200.0,5.74,89.62,6.4,33634.0,843.0,2.51,Europe
Syria,674.0,40.0,0.0,634.0,24.0,2.0,0.0,5.93,0.0,inf,522.0,152.0,29.12,Eastern Mediterranean
Taiwan*,462.0,7.0,440.0,15.0,4.0,0.0,0.0,1.52,95.24,1.59,451.0,11.0,2.44,Western Pacific
Tajikistan,7235.0,60.0,6028.0,1147.0,43.0,1.0,58.0,0.83,83.32,1.0,6921.0,314.0,4.54,Europe
Tanzania,509.0,21.0,183.0,305.0,0.0,0.0,0.0,4.13,35.95,11.48,509.0,0.0,0.0,Africa
Thailand,3297.0,58.0,3111.0,128.0,6.0,0.0,2.0,1.76,94.36,1.86,3250.0,47.0,1.45,South-East Asia
Timor-Leste,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,South-East Asia
Togo,874.0,18.0,607.0,249.0,6.0,0.0,8.0,2.06,69.45,2.97,783.0,91.0,11.62,Africa
Trinidad and Tobago,148.0,8.0,128.0,12.0,1.0,0.0,0.0,5.41,86.49,6.25,137.0,11.0,8.03,Americas
Tunisia,1455.0,50.0,1157.0,248.0,3.0,0.0,15.0,3.44,79.52,4.32,1381.0,74.0,5.36,Eastern Mediterranean
Turkey,227019.0,5630.0,210469.0,10920.0,919.0,17.0,982.0,2.48,92.71,2.67,220572.0,6447.0,2.92,Europe
US,4290259.0,148011.0,1325804.0,2816444.0,56336.0,1076.0,27941.0,3.45,30.9,11.16,3834677.0,455582.0,11.88,Americas
Uganda,1128.0,2.0,986.0,140.0,13.0,0.0,4.0,0.18,87.41,0.2,1069.0,59.0,5.52,Africa
Ukraine,67096.0,1636.0,37202.0,28258.0,835.0,11.0,317.0,2.44,55.45,4.4,60767.0,6329.0,10.42,Europe
United Arab Emirates,59177.0,345.0,52510.0,6322.0,264.0,1.0,328.0,0.58,88.73,0.66,57193.0,1984.0,3.47,Eastern Mediterranean
United Kingdom,301708.0,45844.0,1437.0,254427.0,688.0,7.0,3.0,15.19,0.48,3190.26,296944.0,4764.0,1.6,Europe
Uruguay,1202.0,35.0,951.0,216.0,10.0,1.0,3.0,2.91,79.12,3.68,1064.0,138.0,12.97,Americas
Uzbekistan,21209.0,121.0,11674.0,9414.0,678.0,5.0,569.0,0.57,55.04,1.04,17149.0,4060.0,23.67,Europe
Venezuela,15988.0,146.0,9959.0,5883.0,525.0,4.0,213.0,0.91,62.29,1.47,12334.0,3654.0,29.63,Americas
Vietnam,431.0,0.0,365.0,66.0,11.0,0.0,0.0,0.0,84.69,0.0,384.0,47.0,12.24,Western Pacific
West Bank and Gaza,10621.0,78.0,3752.0,6791.0,152.0,2.0,0.0,0.73,35.33,2.08,8916.0,1705.0,19.12,Eastern Mediterranean
Western Sahara,10.0,1.0,8.0,1.0,0.0,0.0,0.0,10.0,80.0,12.5,10.0,0.0,0.0,Africa
Yemen,1691.0,483.0,833.0,375.0,10.0,4.0,36.0,28.56,49.26,57.98,1619.0,72.0,4.45,Eastern Mediterranean
Zambia,4552.0,140.0,2815.0,1597.0,71.0,1.0,465.0,3.08,61.84,4.97,3326.0,1226.0,36.86,Africa
Zimbabwe,2704.0,36.0,542.0,2126.0,192.0,2.0,24.0,1.33,20.04,6.64,1713.0,991.0,57.85,Africa
